"text","categoria"
"﻿I really fucking love my city. Went to the  vigil  then to  & saw Shakespeare performed in drag to 80s anthems",0
"I don't give a fuck about evidence  ANYONE related to those involved should be deported  take no chances.    atus/871833876552921089",0
"How the fucking hell can these people the police know about be free to walk our streets? Something needs to change  quick!!",0
"A politician like Khan won't lower himself to a pissing contest  as Trump has demanded  because it's fucking stupid",0
"why are media giving out the terrorist names..just burn their bodies fuck em",0
"Suggest Theresa May does something positive before Thursday because this is a game changer.     status/871828892088225792",0
"I agree with  It's a waste of public funds  Just shoot EVERY fucking smelly   in the head NOW!",0
"And why was the fucker allowed to even walk the Queen's highway.",0
"Goddammit  I was absolutely convinced it was gonna be Baptists this time. ",0
"Actually fucked of seeing the media showing all the muslims & their faux grief over the terrorist attacks  laying flowers etc!",0
"Rlt  they have no rights  we don't have to wait  they are scum. Get them out of society  fuck them all.",0
" Winston Churchill said Islam is as dangerous in a Man as Rabies is in a Dog Churchill Was A Wise Man.   8/status/871799441665249280",0
"One of the  terrorists featured in the documentary The Jihadist Next Door They knew he was dangerous..change is needed in UK   us/871797886371188740",0
"1 attacker known to MI5 was on a tv show last year called jihadi's next door how the fuck was he allowed to stay in uk",0
"Let's not give the terrorist fuckers any airtime. They don't deserve the publicity. Let's see the gathering of good",0
"Fuck sake again! Two of the attacker's were know to police. When the fuck will the government wake up and deport these cunts",0
" 1/Western responses to terrorist attacks stuck in denial stage of grief. Today  PM May ventured into anger for a sentence.",0
"You can't hide from your record  cuts to neighbourhood policing perhaps the most dangerous   theguardian.com/uk-news/2017/j un/05/theresa-may-police-cuts-margaret-thatcher-budgets?CMP=Share_iOSApp_Other",0
"Real moderate Muslim reaction to  . Giddy with joy fuck your flag.     ",0
"Not sure how the police are missing catching these evil fuckers. Tower Hamlets  Morden  Tooting etc are all hotbeds",0
"Don't let authoritarian politicians manipulate your justified anger over  and  to further erode our liberties",0
"Wind your neck in  fucko. You won't score any points picking fights with London right now. We're really not in the mood for it    p/status/871725780535062528",0
"WOW how fucked up  Now the news has been proven to be manipulated       tatus/871644135333212160",0
" UK is getting what it asked for. At least the goat fuckers are killing EU liberals and the cops are killing muslims  win-win",0
"hey quick question how the fuck is this going to fix anything",0
"    Alt right r dying trying to prove their lies that migrants are so dangerous close borders   r/status/871703963409756160",0
" Take away more guns from the good citizens of London liberals. Sorry citizen can't protect yourself because guns are dangerous",0
"They say don't look back in anger  we look back in love for those affected we are united ",0
"Irish ID card found on  attacker. Is  a dangerous border security risk?",0
" to say I hope the 72 virgins in Paradise welcoming the terrorists are frigid as fuck! ",0
"Meet Florin  Romanian  one of the heroes who endangered himself to save lives on Saturday night.",0
"Brave Londoners & off duty police praised for rushing into danger to help terror victims    bit.ly/2sDqbzm",0
"Brave Londoners & off duty police praised for rushing into danger to help terror victims    bit.ly/2sDqbzm",0
"   look back anger the love",0
"Today I am fucking angry to learn that one of the  terrorists committed his murders wearing an  shirt.",0
"Need to stop reading threads on the  &  attacks from Idiotic racist hate mongering imbeciles  anger inducing",0
"Brave Londoners & off duty police praised for rushing into danger to help terror victims    bit.ly/2sDqbzm",0
"Back to work don't let the fuckers get you down ",0
"Vile  repellent  incompetent  corrupt  shameless sack of absolute fucking shit  urges PANIC in response to",0
"Dim the lights on the Eiffel Tower. That'll show them we're not fucking around.",0
" .With 11 in custody after the  attack  how many of these dodgy fuckers do you think will be released without charge",0
"Brave Londoners & off duty police praised for rushing into danger to help terror victims    bit.ly/2sDqbzm",0
"Brave Londoners & off duty police praised for rushing into danger to help terror victims    bit.ly/2sDqbzm",0
"Brave Londoners & off duty police praised for rushing into danger to help terror victims    bit.ly/2sDqbzm",0
"Replace the danger of  with the image of your house on fire TRUMP IS THE WATER DEMOCRATS ARE GASOLINE",0
"Brave Londoners & off duty police praised for rushing into danger to help terror victims    bit.ly/2sDqbzm",0
"I thought Run Hide Tell was a fucking joke. Nope. Should be Run Hide Tell Reconsider your immigration policy.",0
"Just hearing about the  attack. I am so very sorry. The world can be fucked up.",0
"Brave Londoners & off duty police praised for rushing into danger to help terror victims    bit.ly/2sDqbzm",0
"Let's be understanding of the whole situation instead of spreading the anger! Let's be vigilant in this dark time.",0
"People lost their lives in London  but please let's talk more about our dipshit fucking president and his tweets.",0
"Brave Londoners & off duty police praised for rushing into danger to help terror victims    bit.ly/2sDqbzm",0
"Hey    you are a fly's fart away from being nuked all the way out of fucking history. You have fucking been warned.",0
"How? How do you  without fail  choose the worst fucking thing to say in all circumstances?",0
"No but seriously I'm so pissed off at these bigots who think terrorism is an excuse for racism. ",0
"Two weeks ago I tweeted the same fucking thing. When are we gonna say enough?",0
"Maybe if he had more than a fucking stick to defend innocents with he wouldn't be seriously injured.    516926488530944",0
"Brave Londoners & off duty police praised for rushing into danger to help terror victims    bit.ly/2sDqbzm",0
"No More Liberal Ideology and Political Correctness Innocent Lives Are in Danger All Around The World.   VoteAntonio.com",0
"Eagerly awaiting another riveting essay from Teen Vogue on the dangers of white males in the wake of    atus/869154605837504512",0
"The horror. My anger is not subsiding",0
"Ok. We've learned our lesson. Any terrorist walk into a British pub now & you'll fucking wish you hadn't",0
"This world is just fucked ",0
