"text","categoria"
"﻿I don't even have any more thoughts and prayers at this point. I just have anger.",0
"My own understanding feels rage anger and frustration in the midst of another shooting. But I remember Proverbs 3:5",0
"Anger is a common response to grief. Nobody can tell you not to be angry after the . But try to breathe and seek inner calm.",0
" One phrase you left out This son of a bitch was a terrorist! Or is that anger just reserved for athletes and show",0
"Can I say I'm numb Can I say I no longer have adequate words All I have is horror and anger. Something must change.",0
"Oh this situation just makes me shake with anger. This is just too much and too far. Something needs to be done. Right now",0
"Feeling so much anger from the . So many innocent lives taken and traumatized",0
"Tried to hold off reading about the as long as I could...didn t want to let any anger in my but I read it and now I m angry. As a country and as HUMANS we need to do better.",0
"Fuck prayers. My thoughts and anger are with those who continue to enable this.",0
"We must voice our anger with and all those fighting against common sense rules for weapons. This is insane!",0
"keeps fueling this kind of anger and hate with his many tweets calling the news media an enemy of the people!. Attacks on have increased since 2017!",0
"When are we going to stop this insanity I bet the guns were legally obtained.Fuck the .",0
"I can't wait for all the republicans to pretend they give a fuck about the LGBT Community by hating muslims",0
"Notice to all GOP's. We don't want your prayers we want action so either do something about it or shut the fuck up.",0
"Wouldn't have stopped this shooting but fuck and",0
"Assault weapon Fuck you media it's a WAR WEAPON !!Let's call it what it is a weapon meant to inflict mass casualties",0
"Stop the Gun violence. Ban guns not abortions for fuck sake America!!!!",0
"He was Islamic Who gives a fuck Based on his actions he was a pile of shit. No religion or race changes his actions.",0
"What the fuck is it going to take to put an end to gun violence",0
"Fuck all that other shit MAKE AMERICA SAFE AGAIN!!!",0
" How the Fuck can you walk into a hotel with that much shit 19 guns",0
"What the fuck is wrong with this asshole",0
"Stop arguing about gun control IMMEDIATELY after a tragedy takes place ffs. Srsly fuck you morons and fuck you Paddock.",0
"Fuck prayers. Vegas doesn't need prayers it and the country need a ban on fucking automatic weapons.",0
"Fuck guns and fuck you if you disagree with heavier restrictions. It should be IMPOSSIBLE to get a gun.",0
"fuck the whitie that killed 58 people he aint shit other than fucking garbage",0
"I try to stay as unpolitical on this account on Twitch and on YouTube as much as humanly possible but when I see people turning the into a fucking political debate about race and shit I get pissed the fuck off.",0
"What the fuck with the guns America How is this ok How does this not change",0
"We are the epitome of love and acceptance. Fuck u for killing our but u can't kill our",0
"So many people in light of the shooting saying the LGBT community should stop coddling Islam. And they can all fuck off.",0
"The They must be hunted down defeated and stopped before they kill again! Enough is enough! We need action and no more thoughts and prayers! The time has finally come!",0
"Hey . Are you going to say that 'Trump became President of the United States in that moment period !' You bald-headed idiot!",0
" How many do we have to lose How many do we have to see killed by a deadly weapon in the wrong hands!!! Do SOMETHING!",0
"﻿Another church shooting... I m disgusted by people",1
" get the hell off of my TV. His level of disrespect commenting on hero in is absolutely disgusting!",1
"Listening to weave his conspiracy theory about the is so fucking disgusting.",1
"As a Texan I m disgusted.",1
"I'm disgusted at America right now... again! So fed up with seeing this stuff in the news.",1
"If a mad person had an imaginary gun there wouldn't be a pile of dead bodies - your logic is disgusting.",1
"Outside (Canadian) looking in observing republicans online trying to play the blame game between muslims and antifa this AM is disgusting. More dead kids more evasion. You are depraved America.",1
"Wasn't going comment on as felt that was for others to do. Then I saw this disgusting opportunism just like appeal",1
"Not only does America have a gun problem. America has an evil person problem! It's heartbreaking and disgusting!",1
"Senseless inhumane and disgusting act of terrorism.",1
"No more thoughts and prayers. Do something. Most of America stands behind common sense gun laws. We should be disgusted",1
"Will call for swift action like in NY or will say it s disgusting to politicize tragedy",1
"Vile and disgusting!!! Truth: the DEVIL is on a rampage and the harder we pray the more the devil reveals himself !!",1
"My heart truly goes out to those affected by this tragedy. I m disgusted at what this worlds come to.",1
"What happened in Texas is disgusting. People just wen to church hoping to worship their god and they end up getting shot at",1
"Reading through these comments is disgusting. You all wonder why there is so much hate. Go look in the mirror.",1
"Sick world we live in with some sick people. Absolutely disgusted.",1
"I am disgusted with the world my love and prayers are with all of the families and friends of the victim's what is wrong",1
"Praying for all the families so disgusting. I just got home from church so",1
"I get sick watching the videos of the shooting in horrible disgusting and heartbreaking.",1
"I can't even watch the coverage of the on the news. That shit is sick. Just disgusting.",1
"prayers to las vegas and the shooting the happened there. i cant believe this world anymore so much hate. it disgusts me.",1
"Lunatic leftist elites like Hayley Geftman-Gold in the media are disgusting. Hope you are happy media",1
"Some of the things I'm hearing people say about the are absolutely disgusting. Shameful.",1
"People who are taking selfies at the scene where over 50 people have died is nothing but insensitive and disgusting.",1
"Tragic disgusting senseless. With licensed gun owners like these who needs ISIS",1
" Horrified and disgusted to hear what happened in Las Vegas last",1
"It is disgusting so many are rejoicing over the idea that many might be .",1
"﻿It s so scary not knowing what could happen next. Much love and many prayers for Vegas.",2
"thats so scary to wake up to oh my god",2
"The fact that I was on The Strip a couple hours before the shooting is so scary",2
"The world is so scary",2
"It's so scary hearing about that shooting especially since my friends were just there.",2
"So scary to go to bed then wake up to something so devastating. My thoughts and prayers go out to everyone in the",2
"I can t believe this is the world we live in....so scary these poor innocent people",2
"So scary to attend concerts nowadays!",2
"Everyone please try and stay safe. Check in with your friends and family! This is so scary I'm shaking",2
"Oh my god that's so scary stay safe",2
"so scary knowing you have family in Vegas at the time of the massacre. heart and prayers go out to all affected.",2
" I pray all my friends who are both at festival and casinos in Vegas this minute are safe... this is so scary!",2
"So scary talking to family hiding in Vegas much love to all of you going through this together.",2
"I took this video two weeks ago at the Mandalay Bay.. so scary to know what kind of world we live in. Never safe.",2
"So scary how anything can happen at any given moment. RIP to all the innocent lives lost. And praying for those injured.",2
" so scary to think I was in that same hotel a month ago.",2
"Were there really more killers in the Shooting These acts are so scary -",2
"For ! So scary knowing a relative of mine goes there now and again.",2
﻿"I am not buying the mentally ill motive anymore.",3
"How many similar incidents in where responded What are laws in Japan v",3
"We Americans are stupid to believe that congress will do anything",3
"God has heard our prayers now God is waiting for Americans to do something about",3
" members killed more Americans then ISIS",3
